,code,name,family
4,aey,Amele,"Trans-New Guinea,Madang-Adelbert Range,Madang,Mabuso,Gum"
5,agg,Angor,"Trans-New Guinea,Senagi"
143,arn,Mapudungun,Araucanian
16,ay,Aymara,Aymaran
17,az,Azerbaijani,"Turkic,Common Turkic,Oghuz,Western Oghuz,Azerbaijani"
18,ba,Bashkir,"Turkic,Western,Uralian"
20,be,Belarusan,"Indo-European,Slavic,East"
21,bef,Benabena,"Trans-New Guinea,Main Section,Central and Western,East New Guinea Highlands,East-Central,Gahuku-Benabena"
22,bg,Bulgarian,"Indo-European,Slavic,South,Eastern"
147,bmu,Somba-Siawari,"Trans-New Guinea,Main Section,Central and Western,Huon-Finisterre,Huon,Western"
26,bug,Bugis,"Austronesian,Malayo-Polynesian,Western Malayo-Polynesian,Sulawesi,South Sulawesi,Bugis"
28,bxr,Russia Buriat,"Mongolian,Eastern,Oirat-Khalkha,Khalkha-Buriat,Buriat"
151,ca,Catalan,"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,East Iberian"
32,cbk,Chavacano,"Creole,Spanish based"
33,cbt,Chayahuita,Cahuapanan
34,cbu,Candoshi-Shapra,Language isolate
154,chm,Mari,"Uralic,Finno-Ugric,Finno-Permic,Finno-Cheremisic,Cheremisic"
156,cni,Asháninka,"Arawakan,Maipuran,Southern Maipuran,Campa"
157,cof,Colorado,"Barbacoan,Cayapa-Colorado"
36,crh,Crimean Tatar,"Turkic,Kipchak,West Kipchak"
37,cs,Czech,"Indo-European,Slavic,West,Czech-Slovak"
160,dyo,Jola-Fogny,"Niger-Congo,Atlantic-Congo,Atlantic,Northern,Bak,Jola,Jola Proper,Jola Central,Jola-Fogny"
161,es,Spanish,"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,West Iberian,Castilian"
46,eu,Basque,Language Isolate
48,ghs,Guhu-Samane,"Trans-New Guinea,Main Section,Eastern,Binanderean,Guhu-Samane"
50,gn,Guarani,"Tupi,Tupi-Guarani,Guarani (I)"
163,hi,Hindi,"Indo-European,Indo-Iranian,Indo-Aryan,Central zone,Western Hindi,Hindustani"
57,hsb,Upper Sorbian,"Indo-European,Slavic,West,Sorbian"
59,hu,Hungarian,"Uralic,Finno-Ugric,Ugric,Hungarian"
60,hy,Armenian,"Indo-European,Armenian"
164,id,Indonesian,"Austronesian,Malayo-Polynesian,Western Malayo-Polynesian,Sundic,Malayic,Malayan,Local Malay"
64,iu,Inuktitut,"Eskimo-Aleut,Eskimo,Inuit"
68,ka,Georgian,"Kartvelian,Karto-Zan,Georgian"
166,kea,Cape Verdean Creole,"Creole,Portuguese based"
73,kn,Kannada,"Dravidian,Southern,Tamil-Kannada,Kannada"
74,ko,Korean,Language Isolate
78,ksr,Borong,"Trans-New Guinea,Main Section,Central and Western,Huon-Finisterre,Huon,Eastern"
79,kup,Kunimaipa,"Trans-New Guinea,Main Section,Eastern,Central and Southeastern,Goilalan,Kunimaipa"
81,ky,Kirghiz,"Turkic,Kipchak,Kyrgyz-Kipchak"
170,kyz,Kayabí,"Tupi,Tupi-Guarani,Kayabi"
171,mcf,Matsés,"Panoan,Northern"
85,mg,Malagasy,"Austronesian,Malayo-Polynesian,Western Malayo-Polynesian,Borneo,Barito,East,Malagasy"
87,mk,Macedonian,"Indo-European,Slavic,South,Eastern"
174,ml,Malayalam,"Dravidian,Southern,Tamil-Kannada,Tamil-Kodagu,Tamil-Malayalam,Malayalam"
176,mnb,Muna,"Austronesian,Malayo-Polynesian,Western Malayo-Polynesian,Sulawesi,Muna-Buton,Muna"
178,mt,Maltese,"Afro-Asiatic,Semitic,Central,South,Arabic"
179,myv,Erzya,"Uralic,Finno-Ugric,Finno-Permic,Finno-Cheremisic,Finno-Mordvinic,Mordvinic"
91,naf,Nabak,"Trans-New Guinea,Main Section,Central and Western,Huon-Finisterre,Huon,Western"
180,ne,Nepali,"Indo-European,Indo-Iranian,Indo-Aryan,Northern zone,Eastern Pahari"
98,omw,South Tairora,"Trans-New Guinea,Kainantu-Goroka,Kainantu,Tairora,South Tairora"
184,pag,Pangasinan,"Austronesian,Malayo-Polynesian,Western Malayo-Polynesian,Northern Philippine,Northern Luzon,South-Central Cordilleran,Southern Cordilleran,Pangasinic"
185,pib,Yine,"Arawakan,Maipuran,Southern Maipuran,Purus"
106,ro,Romanian,"Indo-European,Italic,Romance,Eastern Romance,Balkan Romance,Romanian"
188,rwo,Rawa,"Trans-New Guinea,Main Section,Central and Western,Huon-Finisterre,Finisterre,Gusap-Mot"
107,shi,Shilha,"Afro-Asiatic,Berber,Northern, Atlas"
109,si,Sinhala,"Indo-European,Indo-Iranian,Indo-Aryan,Sinhalese-Maldivian"
190,sk,Slovak,"Indo-European,Slavic,West,Czech-Slovak"
191,sm,Samoan,"Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,East Fijian-Polynesian,Polynesian,Nuclear,Samoic-Outlier,Samoan"
111,sq,Albanian,"Indo-European,Albanian,Tosk"
193,sw,Swahili,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Bantu,Northeast Bantu,Northeast Coast Bantu,Sabaki,Swahili"
114,te,Telugu,"Dravidian,South-Central,Telugu"
116,tg,Tajik,"Indo-European,Indo-Iranian,Iranian,Western,Southwestern,Persian"
117,to,Tongan,"Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,East Fijian-Polynesian,Polynesian,Tongic"
119,tr,Turkish,"Turkic,Common Turkic,Oghuz,Western Oghuz,Turkish"
120,tt,Tatar,"Turkic,Common Turkic,Kipchak,North Kipchak,Tatar"
123,ug,Uyghur,"Turkic,Common Turkic,Karluk,Uyghur"
124,uk,Ukrainian,"Indo-European,Balto-Slavic,Slavic,East Slavic,Ukrainian"
126,uz,Uzbek,"Turkic,Common Turkic,Karluk,Uzbek"
127,var,Huarijío,"Uto-Aztecan,Southern Uto-Aztecan,Sonoran,Tarahumaran,Guarijio"
129,vi,Vietnamese,"Austro-Asiatic,Mon-khmer,Viet-Muong,Vietnamese"
128,viv,Iduna,"Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Western Oceanic,Papuan Tip,Nuclear,North Papuan Mainland-D'Entrecasteaux,Bwaidoga"
132,wo,Wolof,"Niger-Congo,Atlantic-Congo,Atlantic,Northern,Senegambian,Fula-Wolof,Wolof"
134,yi,Yiddish,"Indo-European,Germanic,West,High German,Yiddish"
138,zos,Francisco León Zoque,"Mixe-Zoque,Zoque,Chiapas Zoque"
